PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
"Luka Doncic","DAL",20,71,27,44,32.2,21.2,7.0,16.5,42.7,2.3,7.2,32.6,4.8,6.7,71.1,1.2,6.5,7.7,5.9,3.4,1.0,0.4,1.9,40.0,23,7,-1.9

"Jrue Holiday","NOP",28,67,30,37,35.8,21.2,8.2,17.3,47.2,1.8,5.4,32.5,3.1,4.0,76.8,1.1,3.9,5.0,7.7,3.1,1.6,0.8,2.2,42.9,18,0,3.4

"Mike Conley","MEM",31,70,30,40,33.5,21.1,7.0,16.0,43.8,2.2,6.1,36.4,4.9,5.8,84.5,0.6,2.8,3.4,6.4,1.9,1.3,0.3,1.8,37.9,10,0,0.3

"D'Angelo Russell","BKN",23,78,39,39,30.3,21.1,8.1,18.9,43.1,2.9,7.9,36.2,2.0,2.5,77.7,0.6,3.2,3.8,6.9,3.2,1.2,0.2,1.8,37.4,13,0,-0.3

"Buddy Hield","SAC",26,80,39,41,32.1,20.9,7.7,16.7,45.9,3.4,8.0,42.9,2.1,2.4,88.6,1.3,3.8,5.1,2.5,1.8,0.7,0.4,2.5,32.3,3,0,-0.1

"Nikola Vucevic","ORL",28,79,40,39,31.3,20.8,8.7,16.9,51.7,1.1,2.9,36.6,2.3,2.9,78.9,2.8,9.2,12.0,3.8,2.0,1.0,1.1,1.9,45.3,59,1,2.5

"John Wall","WAS",28,32,11,21,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8

"Tobias Harris","PHI",26,80,45,35,34.9,20.3,7.5,15.3,49.2,2.0,4.8,40.5,3.3,3.8,87.0,0.8,7.1,7.9,2.8,1.9,0.6,0.5,2.3,35.3,15,0,0.3

"Nikola Jokic","DEN",24,78,52,26,31.4,20.2,7.7,15.1,51.3,1.1,3.4,31.2,3.7,4.5,82.5,2.9,8.0,10.8,7.4,3.1,1.3,0.7,2.8,47.2,55,12,4.0

"Lou Williams","LAC",32,73,46,27,26.6,20.1,6.5,15.2,42.8,1.4,3.9,35.9,5.7,6.5,87.6,0.5,2.4,2.9,5.4,2.4,0.7,0.1,1.1,31.9,7,1,3.0

"JaKarr Sampson","CHI",26,2,1,1,29.5,20.0,7.0,10.5,66.7,1.5,2.0,75.0,4.5,5.0,90.0,1.5,6.5,8.0,1.0,1.5,1.5,0.5,3.0,35.6,0,0,1.5

"Danilo Gallinari","LAC",30,67,39,28,30.4,19.9,6.0,13.0,46.3,2.4,5.5,43.4,5.4,6.0,90.5,0.8,5.4,6.2,2.6,1.5,0.7,0.3,1.9,32.9,7,0,1.6

"John Collins","ATL",21,60,24,36,29.9,19.5,7.6,13.6,56.0,0.9,2.6,34.6,3.3,4.4,76.3,3.5,6.0,9.5,1.9,2.0,0.4,0.6,3.3,34.8,31,0,-1.4

"Trae Young","ATL",20,80,29,51,30.9,19.1,6.5,15.5,41.9,1.9,5.9,32.6,4.2,5.0,82.6,0.8,2.9,3.7,8.0,3.8,0.9,0.2,1.8,35.0,29,1,-4.4

"Jimmy Butler","PHI",29,64,38,26,33.9,18.9,6.5,14.0,46.3,1.0,3.0,34.9,4.9,5.7,85.5,1.9,3.4,5.3,4.1,1.5,1.9,0.6,1.7,37.6,3,0,2.7

"Victor Oladipo","IND",26,36,25,11,31.9,18.8,6.9,16.3,42.3,2.1,6.0,34.3,2.9,3.9,73.0,0.6,5.0,5.6,5.2,2.3,1.7,0.3,2.0,36.9,5,0,3.5

"Lauri Markkanen","CHI",21,52,16,36,32.3,18.7,6.6,15.3,43.0,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9.0,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8

"Kyle Kuzma","LAL",23,70,33,37,33.1,18.7,7.1,15.5,45.6,1.8,6.0,30.3,2.7,3.6,75.2,0.9,4.6,5.5,2.5,1.9,0.6,0.4,2.4,30.0,4,0,-0.8

"Brandon Ingram","LAL",21,52,25,27,33.9,18.3,7.0,14.0,49.7,0.6,1.8,33.0,3.8,5.6,67.5,0.8,4.3,5.1,3.0,2.5,0.5,0.6,2.9,29.8,2,0,-1.1

"Jamal Murray","DEN",22,73,48,25,32.6,18.2,6.8,15.6,43.7,2.0,5.5,36.4,2.5,3.0,85.7,0.9,3.3,4.2,4.9,2.1,0.9,0.4,2.1,32.2,4,0,3.4

"Khris Middleton","MIL",27,74,55,19,31.4,18.1,6.5,14.8,43.8,2.3,6.1,38.1,2.8,3.4,83.3,0.7,5.4,6.1,4.3,2.3,1.1,0.1,2.3,33.0,7,0,7.2

"Tim Hardaway Jr.","DAL",27,65,14,51,31.6,18.1,6.0,15.3,39.3,2.5,7.3,34.0,3.6,4.2,84.1,0.5,2.9,3.4,2.4,1.6,0.8,0.1,2.2,27.1,2,0,-6.2

"Bojan Bogdanovic","IND",29,80,47,33,31.8,18.0,6.5,13.0,49.7,2.0,4.8,42.4,3.1,3.8,80.9,0.4,3.7,4.1,2.0,1.7,0.9,0.0,1.7,26.9,0,0,2.3

"JJ Redick","PHI",34,75,48,27,31.4,18.0,5.9,13.5,43.7,3.1,8.0,39.5,3.0,3.4,89.3,0.3,2.1,2.4,2.7,1.3,0.4,0.2,1.7,25.6,1,0,4.0

